direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
SHORT,support,2018-02-21 04:15:00,2018-02-21 06:15:00,10825.9,10934.16,10609.38,10934.16,1.132781,-122.63,24.65,-147.28,8,stop_loss
SHORT,support,2018-02-21 14:00:00,2018-02-21 16:30:00,10568.97,10357.59,10357.59,10674.66,1.156835,244.53,24.21,220.32,10,take_profit
SHORT,support,2018-02-21 16:30:00,2018-02-21 16:45:00,10356.83,10460.4,10149.69,10460.4,1.185848,-122.82,24.69,-147.5,1,stop_loss
SHORT,support,2018-02-21 16:45:00,2018-02-21 17:15:00,10428.06,10532.34,10219.5,10532.34,1.174212,-122.45,24.61,-147.06,2,stop_loss
SHORT,support,2018-02-21 17:15:00,2018-02-21 18:15:00,10506.06,10611.12,10295.94,10611.12,1.161995,-122.08,24.54,-146.62,4,stop_loss
SHORT,support,2018-02-21 20:00:00,2018-02-21 21:15:00,10312.05,10415.17,10105.81,10415.17,1.180302,-121.71,24.46,-146.18,5,stop_loss
SHORT,support,2018-02-22 10:00:00,2018-02-22 11:15:00,10177.83,10279.61,9974.27,10279.61,1.192277,-121.35,24.39,-145.74,5,stop_loss
SHORT,support,2018-02-22 12:30:00,2018-02-22 13:15:00,9938.7,9739.93,9739.93,10038.09,1.217298,241.97,23.95,218.01,3,take_profit
SHORT,support,2018-02-22 13:15:00,2018-02-22 13:45:00,9795.96,9893.92,9600.04,9893.92,1.240599,-121.53,24.43,-145.96,2,stop_loss
SHORT,support,2018-02-22 13:45:00,2018-02-22 14:15:00,9894.35,9993.29,9696.46,9993.29,1.224575,-121.16,24.35,-145.52,2,stop_loss
SHORT,support,2018-02-22 14:45:00,2018-02-22 15:15:00,9875.0,9973.75,9677.5,9973.75,1.22329,-120.8,24.28,-145.08,2,stop_loss
SHORT,support,2018-02-22 17:30:00,2018-02-22 18:15:00,9800.26,9898.26,9604.25,9898.26,1.228918,-120.44,24.21,-144.65,3,stop_loss
SHORT,support,2018-02-23 00:15:00,2018-02-23 02:15:00,9638.05,9734.43,9445.29,9734.43,1.245849,-120.08,24.14,-144.21,8,stop_loss
LONG,resistance,2018-02-23 13:15:00,2018-02-23 14:30:00,10206.2,10410.32,10410.32,10104.14,1.172964,239.43,24.18,215.25,5,take_profit
LONG,resistance,2018-02-23 14:30:00,2018-02-23 14:45:00,10376.23,10272.47,10583.75,10272.47,1.158929,-120.25,23.93,-144.18,1,stop_loss
LONG,resistance,2018-02-23 14:45:00,2018-02-23 15:30:00,10330.0,10226.7,10536.6,10226.7,1.160627,-119.89,23.86,-143.75,3,stop_loss
LONG,resistance,2018-02-24 02:00:00,2018-02-24 06:30:00,10380.01,10276.21,10587.61,10276.21,1.151573,-119.53,23.79,-143.32,18,stop_loss
SHORT,support,2018-02-24 10:00:00,2018-02-24 13:00:00,9844.08,9647.2,9647.2,9942.52,1.210627,238.35,23.6,214.75,12,take_profit
SHORT,support,2018-02-24 13:00:00,2018-02-24 14:00:00,9630.0,9726.3,9437.4,9726.3,1.243115,-119.71,24.06,-143.77,4,stop_loss
SHORT,support,2018-02-24 14:00:00,2018-02-24 15:00:00,9719.99,9817.19,9525.59,9817.19,1.227908,-119.35,23.99,-143.34,4,stop_loss
SHORT,support,2018-02-24 18:45:00,2018-02-24 20:30:00,9560.26,9369.05,9369.05,9655.86,1.244675,237.99,23.56,214.43,7,take_profit
SHORT,support,2018-02-24 20:30:00,2018-02-24 21:00:00,9384.92,9478.77,9197.22,9478.77,1.273641,-119.53,24.03,-143.56,2,stop_loss
SHORT,support,2018-02-24 21:00:00,2018-02-24 22:15:00,9472.66,9567.39,9283.21,9567.39,1.258055,-119.17,23.95,-143.12,5,stop_loss
SHORT,support,2018-02-25 14:45:00,2018-02-25 19:15:00,9373.98,9467.72,9186.5,9467.72,1.267482,-118.81,23.88,-142.7,18,stop_loss
LONG,resistance,2018-02-26 11:45:00,2018-02-26 13:00:00,9715.99,9910.31,9910.31,9618.83,1.219194,236.91,23.93,212.99,5,take_profit
LONG,resistance,2018-02-26 13:00:00,2018-02-26 14:00:00,10040.23,10241.03,10241.03,9939.83,1.185125,237.98,24.04,213.94,4,take_profit
LONG,resistance,2018-02-26 14:00:00,2018-02-26 14:15:00,10330.0,10226.7,10536.6,10226.7,1.157058,-119.52,23.79,-143.31,1,stop_loss
LONG,resistance,2018-02-26 14:15:00,2018-02-26 14:45:00,10230.0,10127.7,10434.6,10127.7,1.164866,-119.17,23.71,-142.88,2,stop_loss
LONG,resistance,2018-02-26 16:00:00,2018-02-26 16:15:00,10371.01,10267.3,10578.43,10267.3,1.145584,-118.81,23.64,-142.45,1,stop_loss
LONG,resistance,2018-02-26 16:15:00,2018-02-26 16:30:00,10310.0,10206.9,10516.2,10206.9,1.148909,-118.45,23.57,-142.02,1,stop_loss
LONG,resistance,2018-02-26 21:15:00,2018-02-27 01:30:00,10357.93,10254.35,10565.09,10254.35,1.140164,-118.1,23.5,-141.6,17,stop_loss
LONG,resistance,2018-02-27 07:45:00,2018-02-27 13:45:00,10600.0,10812.0,10812.0,10494.0,1.110787,235.49,23.78,211.7,24,take_profit
LONG,resistance,2018-02-27 13:45:00,2018-02-27 14:15:00,10851.04,10742.53,11068.06,10742.53,1.089966,-118.27,23.54,-141.81,2,stop_loss
LONG,resistance,2018-02-27 14:15:00,2018-02-27 15:00:00,10692.69,10585.76,10906.54,10585.76,1.102792,-117.92,23.47,-141.38,3,stop_loss
LONG,resistance,2018-02-28 03:15:00,2018-02-28 07:00:00,10897.82,10788.84,11115.78,10788.84,1.078791,-117.56,23.4,-140.96,15,stop_loss
SHORT,support,2018-02-28 09:00:00,2018-02-28 09:45:00,10521.0,10626.21,10310.58,10626.21,1.114079,-117.21,23.56,-140.77,3,stop_loss
SHORT,support,2018-02-28 12:30:00,2018-02-28 14:30:00,10420.1,10524.3,10211.7,10524.3,1.12149,-116.86,23.49,-140.35,8,stop_loss
SHORT,support,2018-02-28 23:00:00,2018-03-01 02:00:00,10353.02,10456.55,10145.96,10456.55,1.125367,-116.51,23.42,-139.93,12,stop_loss
LONG,resistance,2018-03-01 10:00:00,2018-03-01 12:45:00,10701.94,10594.92,10915.98,10594.92,1.085408,-116.16,23.12,-139.28,11,stop_loss
LONG,resistance,2018-03-01 13:30:00,2018-03-01 15:15:00,10789.0,10681.11,11004.78,10681.11,1.073422,-115.81,23.05,-138.86,7,stop_loss
LONG,resistance,2018-03-01 17:45:00,2018-03-02 00:30:00,10850.0,11067.0,11067.0,10741.5,1.064188,230.93,23.32,207.6,27,take_profit
LONG,resistance,2018-03-02 00:30:00,2018-03-02 05:00:00,11036.12,10925.76,11256.84,10925.76,1.050943,-115.98,23.08,-139.06,18,stop_loss
LONG,resistance,2018-03-03 01:15:00,2018-03-03 13:15:00,11215.02,11439.32,11439.32,11102.87,1.031079,231.27,23.36,207.91,48,take_profit
LONG,resistance,2018-03-03 13:15:00,2018-03-03 20:45:00,11441.0,11326.59,11669.82,11326.59,1.015256,-116.16,23.11,-139.27,30,stop_loss
SHORT,support,2018-03-04 03:15:00,2018-03-04 18:30:00,11229.0,11341.29,11004.42,11341.29,1.031323,-115.81,23.28,-139.08,61,stop_loss
LONG,resistance,2018-03-04 21:00:00,2018-03-05 18:45:00,11444.01,11672.89,11672.89,11329.57,1.008909,230.92,23.32,207.6,87,take_profit
