asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
BTC-Binance,LONG,pullback,2021-01-30 23:30:00,2021-01-31 00:00:00,34307.67,34156.8949,0.435642,-65.68,29.83,-95.51,6,stop_loss
BTC-Binance,LONG,pullback,2021-02-02 10:50:00,2021-02-02 11:25:00,35159.82,34910.3732,0.424541,-105.9,29.75,-135.65,7,stop_loss
BTC-Binance,LONG,pullback,2021-02-02 14:00:00,2021-02-02 14:15:00,34844.06,34658.8128,0.427609,-79.21,29.72,-108.93,3,stop_loss
BTC-Binance,LONG,breakout,2021-02-04 00:05:00,2021-02-04 00:35:00,37849.99,37849.99,0.393074,0.0,29.76,-29.76,6,stop_loss
BTC-Binance,LONG,breakout,2021-02-06 00:05:00,2021-02-06 01:50:00,38500.0,38500.0,0.386283,0.0,29.74,-29.74,21,stop_loss
BTC-Binance,LONG,pullback,2021-02-17 10:20:00,2021-02-17 12:05:00,51248.18,51248.18,0.290078,0.0,29.73,-29.73,21,stop_loss
BTC-Binance,LONG,pullback,2021-02-21 06:05:00,2021-02-21 06:40:00,56552.8,56305.9504,0.262763,-64.86,29.66,-94.52,7,stop_loss
BTC-Binance,SHORT,pullback,2021-02-23 04:20:00,2021-02-23 06:20:00,51686.66,50674.32,0.287136,290.68,29.39,261.29,24,ma_cross
BTC-Binance,SHORT,pullback,2021-02-23 06:25:00,2021-02-23 09:25:00,50674.32,48401.53,0.293904,667.98,29.12,638.86,36,ma_cross
BTC-Binance,SHORT,pullback,2021-02-25 05:45:00,2021-02-25 05:55:00,50002.21,50399.0168,0.300409,-119.2,30.16,-149.37,2,stop_loss
BTC-Binance,SHORT,pullback,2021-02-26 23:40:00,2021-02-27 00:05:00,46231.62,46585.2547,0.324264,-114.67,30.1,-144.77,5,stop_loss
BTC-Binance,SHORT,pullback,2021-02-28 17:25:00,2021-02-28 18:50:00,43745.1,43745.1,0.342034,0.0,29.92,-29.92,17,stop_loss
BTC-Binance,LONG,pullback,2021-03-01 17:20:00,2021-03-01 17:35:00,48825.09,48825.09,0.306325,0.0,29.91,-29.91,3,stop_loss
BTC-Binance,LONG,pullback,2021-03-02 10:10:00,2021-03-02 10:50:00,49058.16,48816.0604,0.304747,-73.78,29.83,-103.61,8,stop_loss
BTC-Binance,LONG,pullback,2021-03-03 23:10:00,2021-03-03 23:55:00,50769.03,50421.6259,0.294069,-102.16,29.76,-131.92,9,stop_loss
BTC-Binance,SHORT,pullback,2021-03-05 17:35:00,2021-03-05 17:45:00,47894.5,48197.9021,0.311168,-94.41,29.9,-124.31,2,stop_loss
BTC-Binance,SHORT,pullback,2021-03-06 15:00:00,2021-03-06 16:05:00,47562.67,47562.67,0.312816,0.0,29.76,-29.76,13,stop_loss
BTC-Binance,LONG,pullback,2021-03-08 02:00:00,2021-03-08 02:05:00,51557.7,51295.6673,0.288462,-75.59,29.67,-105.26,1,stop_loss
BTC-Binance,LONG,pullback,2021-03-08 16:15:00,2021-03-08 16:50:00,50827.1,50577.1026,0.292194,-73.05,29.63,-102.68,7,stop_loss
BTC-Binance,LONG,pullback,2021-03-10 09:20:00,2021-03-10 11:20:00,54504.48,54671.16,0.272103,45.35,29.71,15.65,24,ma_cross
BTC-Binance,LONG,pullback,2021-03-11 03:25:00,2021-03-11 03:30:00,55987.92,55659.7756,0.264949,-86.94,29.58,-116.52,1,stop_loss
BTC-Binance,LONG,pullback,2021-03-13 06:20:00,2021-03-13 09:10:00,56676.6,57303.65,0.261319,163.86,29.79,134.07,34,ma_cross
BTC-Binance,LONG,pullback,2021-03-13 15:15:00,2021-03-13 15:35:00,59900.05,59686.2577,0.247704,-52.96,29.62,-82.58,4,stop_loss
BTC-Binance,LONG,pullback,2021-03-14 03:05:00,2021-03-14 04:05:00,61115.59,61115.59,0.242507,0.0,29.64,-29.64,12,stop_loss
BTC-Binance,LONG,pullback,2021-03-18 02:55:00,2021-03-18 03:15:00,59067.08,58840.8201,0.250817,-56.75,29.57,-86.32,4,stop_loss
BTC-Binance,LONG,pullback,2021-03-20 14:10:00,2021-03-20 16:05:00,58933.85,58933.85,0.251091,0.0,29.6,-29.6,23,stop_loss
BTC-Binance,SHORT,pullback,2021-03-23 00:50:00,2021-03-23 01:20:00,54622.95,54863.3228,0.270799,-65.09,29.65,-94.74,6,stop_loss
